Format Version,1.24,Take Name,RADs_6s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.52.52.945 PM,Capture Start Frame,1594343,Total Frames in Take,7261,Total Exported Frames,7261,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,166.540070,190.284882,311.088562,59.021885,180.132278,305.197662,285.621338,166.078918,223.237549,291.138336,171.576126,307.709229,154.809891,219.278351,-22.560427,-51.200577,206.538513,69.129784,362.786560,190.887375,-42.299191,271.980011,187.578857,-35.703159,-44.763271,229.496475,149.078720,270.206421,171.702423,51.146141,371.313171,190.544250,134.264374,157.486771,176.008820,226.702942,386.372803,171.110107,193.654404,285.596893,168.684631,136.031860,76.489685,177.999222,229.316971,-40.692085,191.740143,313.918060,-42.812805,210.000381,232.564728,159.006744,192.937454,139.742859,61.685642,205.598999,-16.554073,153.248383,192.009338,61.032806,71.493095,192.629440,66.855560,-57.896282,195.604980,-10.158694,73.066788,192.076080,148.783463,,,
17,0.141667,166.541061,190.321381,311.096436,59.046173,180.146851,305.242859,285.618317,166.128372,223.226913,291.167297,171.647507,307.681152,154.776520,219.195023,-22.532745,-51.220760,206.565201,69.237694,362.758118,190.891571,-42.313480,271.965668,187.602966,-35.696377,-44.617840,229.646362,149.225677,270.249054,171.616821,51.263664,371.341400,190.530472,134.232590,157.492950,176.045563,226.710175,386.378448,171.123840,193.637115,285.590881,168.678299,136.026230,76.504585,178.013367,229.353439,-40.696751,191.823044,313.998199,-42.788620,210.033890,232.657043,158.992416,192.949463,139.747025,61.654934,205.552155,-16.510330,153.239349,191.977249,61.053658,71.476875,192.658218,66.900909,-57.944794,195.612442,-10.105097,73.072548,192.132965,148.824768,,,
18,0.150000,166.562210,190.334015,311.118134,59.097298,180.061798,305.335541,285.643341,166.192657,223.237564,291.213959,171.731827,307.673889,154.760010,219.170090,-22.526180,-51.270573,206.574753,69.426224,362.741455,190.903061,-42.310616,271.954346,187.602676,-35.696854,-44.666710,229.377945,149.340805,270.258881,171.377686,51.276901,371.346466,190.516998,134.221741,157.558319,176.128281,226.728882,386.400848,171.152023,193.612625,285.598267,168.674149,136.027344,76.524490,177.996353,229.411133,-40.663219,191.800461,314.091919,-42.747601,210.045517,232.763947,158.893616,193.040710,139.873428,61.635075,205.485840,-16.466354,153.244247,191.947388,61.080154,71.460915,192.641144,66.954369,-58.002316,195.549438,-10.008379,73.100830,192.093399,148.925400,,,
19,0.158333,166.598267,190.606110,311.149048,59.117844,180.000000,305.390778,285.625275,166.284836,223.244354,291.234985,171.841492,307.665283,154.732819,219.164444,-22.533022,-51.275185,206.682449,69.546669,362.704102,190.900406,-42.340240,271.933594,187.588623,-35.712383,-44.594311,229.488632,149.466537,270.290253,171.503448,51.256729,371.285309,190.396454,134.203415,157.559708,176.174866,226.745712,386.421722,171.162827,193.602829,285.604950,168.687759,136.015015,76.524483,177.981934,229.448013,-40.663582,191.764557,314.190460,-42.728878,210.046066,232.886597,158.867737,193.057297,139.888351,61.482418,205.518600,-16.407125,153.222000,191.957321,61.098789,71.324646,192.873962,67.040131,-58.028584,195.470764,-9.910215,73.140404,192.224579,148.980652,,,
20,0.166667,166.620270,190.644882,311.176880,59.155544,179.925842,305.470154,285.651550,166.313019,223.265457,291.277405,172.004578,307.688934,154.716705,219.145920,-22.525513,-51.268753,206.721786,69.674866,362.663025,190.910858,-42.360931,271.923706,187.609360,-35.694542,-44.644367,229.447037,149.672409,270.245972,171.416473,51.268124,371.261200,190.380768,134.230896,157.568115,176.213120,226.796158,386.439453,171.188705,193.589874,285.606598,168.713562,136.025604,76.532410,177.942764,229.497345,-40.483837,191.792282,314.343719,-42.693165,209.998749,233.011169,158.874176,193.064682,139.906738,61.452759,205.616241,-16.280401,153.205795,191.959396,61.128742,71.375053,192.731079,67.101128,-58.065483,195.384766,-9.777781,73.175285,192.248978,149.039368,,,
21,0.175000,166.620087,190.660828,311.190796,59.186333,179.852661,305.516876,285.648590,166.337433,223.268723,291.288696,172.085419,307.681732,154.711166,219.130096,-22.521761,-51.278973,206.764236,69.779709,362.675842,190.938782,-42.339951,271.915955,187.607559,-35.701206,-44.576168,229.619614,149.806702,270.236816,171.394577,51.275501,371.362000,190.372131,134.178650,157.559982,176.229950,226.815292,386.451538,171.192276,193.593384,285.601746,168.715332,136.030106,76.524300,177.888336,229.533096,-40.402599,191.772003,314.450195,-42.674274,209.927917,233.121048,158.866165,193.067291,139.925995,61.491001,205.639008,-16.223652,153.208313,191.979706,61.145718,71.319122,192.878799,67.176010,-58.071377,195.162628,-9.575433,73.072388,192.354904,149.135162,,,
22,0.183333,166.675125,190.607452,311.183380,59.211582,179.760193,305.574036,285.666290,166.342087,223.296158,291.309052,172.112473,307.706512,154.715729,219.112915,-22.510494,-51.263466,206.770386,69.894623,362.709869,190.897964,-42.324242,271.926941,187.594376,-35.686455,-44.558693,229.699097,149.879944,270.247223,171.394211,51.289345,371.426636,190.324768,134.152267,157.547714,176.348267,226.902817,386.463806,171.171204,193.609909,285.609558,168.702454,136.039520,76.524803,177.812149,229.587189,-40.296314,191.753525,314.570526,-42.656342,209.848328,233.225754,158.872726,193.052505,139.945129,61.484493,205.697403,-16.148605,153.220917,191.992859,61.176167,71.342339,192.964447,67.247017,-58.137463,195.178223,-9.374709,73.090073,192.337982,149.196152,,,
23,0.191667,166.628174,190.659256,311.224182,59.227528,179.659698,305.594849,285.658386,166.335876,223.317200,291.304230,172.129578,307.727203,154.691879,219.034790,-22.467440,-51.290104,206.841415,69.997398,362.704376,190.912354,-42.289581,271.920685,187.584427,-35.666107,-44.595341,229.799881,149.977768,270.244446,171.378250,51.299473,371.340576,190.331848,134.219589,157.550171,176.381241,226.919983,386.467407,171.170975,193.626862,285.610382,168.680069,136.054916,76.536919,177.767761,229.616440,-40.259495,191.762329,314.626923,-42.652359,209.833694,233.298355,158.873672,193.048492,139.963120,61.474457,205.745300,-16.122301,153.197021,192.019165,61.194462,71.200470,193.682877,67.313934,-58.155510,195.128372,-9.226348,73.104675,192.394669,149.228363,,,
24,0.200000,166.669006,190.602570,311.220825,59.255756,179.561981,305.627930,285.674377,166.287415,223.339523,291.317139,172.101639,307.755524,154.648041,218.945602,-22.454884,-51.255886,206.894547,70.057068,362.714417,190.901672,-42.267918,271.928284,187.552979,-35.650002,-44.611458,229.814377,150.028976,270.245605,171.352356,51.305534,371.284943,190.287674,134.268341,157.555573,176.389282,226.940460,386.463013,171.150253,193.654251,285.552612,168.597260,136.209885,76.561188,177.745300,229.639999,-40.224613,191.742584,314.671539,-42.606449,209.814636,233.358810,158.885712,193.019424,139.976746,61.487736,205.745499,-16.097939,153.185867,192.010666,61.216183,71.175888,193.919159,67.306427,-58.156467,195.155655,-9.158669,73.131302,192.422562,149.252151,,,
25,0.208333,166.656097,190.612167,311.247711,59.264149,179.566269,305.656677,285.676697,166.265381,223.360077,291.315063,172.117035,307.776947,154.629852,218.923813,-22.445242,-51.250320,206.939255,70.114426,362.703705,190.918289,-42.245461,271.919983,187.538376,-35.638077,-44.527573,229.739487,150.046326,270.240448,171.352158,51.314331,371.263184,190.267197,134.303619,157.563782,176.431091,226.962524,386.464050,171.127869,193.669769,285.448853,168.219040,136.055832,76.580254,177.741425,229.694229,-40.203938,192.051483,314.784180,-42.589481,209.859299,233.404816,158.895065,193.046616,139.995499,61.489555,205.748230,-16.080423,153.182068,192.029724,61.233101,71.202881,193.914841,67.335732,-58.157684,195.222931,-9.127419,73.153839,192.484314,149.272125,,,
26,0.216667,166.671570,190.590103,311.260620,59.286263,179.595581,305.671387,285.671844,166.235168,223.369064,291.323822,172.109283,307.781799,154.636230,218.923309,-22.447163,-51.243225,206.937027,70.135727,362.696472,190.906876,-42.247791,271.913361,187.495270,-35.627956,-44.508762,229.739410,150.054779,270.249756,171.326523,51.309597,371.219055,190.171051,134.286240,157.572128,176.444031,226.962158,386.459351,171.106888,193.677734,285.423645,168.168304,136.064117,76.590866,177.744797,229.699005,-40.226620,192.130783,314.824646,-42.569286,209.893356,233.426666,158.910629,193.063629,139.999588,61.494221,205.717819,-16.083685,153.190048,192.000320,61.230953,71.290932,193.689011,67.354309,-58.166473,195.262680,-9.144444,73.166367,192.476440,149.273773,,,
27,0.225000,166.673065,190.630188,311.261658,59.295048,179.674362,305.674713,285.667877,166.239288,223.376892,291.326630,172.131363,307.783539,154.640182,218.908035,-22.449472,-51.247925,206.918625,70.136803,362.684662,190.915451,-42.243134,271.895203,187.482956,-35.619923,-44.504166,229.757751,150.041702,270.250153,171.306793,51.311161,371.229614,189.993958,134.379730,157.580643,176.412857,227.006577,386.462677,171.089401,193.668381,285.475250,168.074844,136.147278,76.588966,177.750076,229.704987,-40.223572,192.169708,314.824463,-42.565895,210.062775,233.479919,158.896896,193.080399,139.992874,61.491020,205.685196,-16.072706,153.181778,191.971603,61.235134,71.488960,193.126129,67.435028,-58.167217,195.206070,-9.134231,72.982101,192.908691,149.183136,,,
28,0.233333,166.697174,190.713699,311.227997,59.287560,179.766098,305.658905,285.669312,166.235611,223.353073,291.326569,172.145203,307.762451,154.627930,218.865311,-22.460880,-51.247211,206.916428,70.105385,362.667572,190.918320,-42.251343,271.883972,187.462265,-35.635029,-44.485695,229.755264,150.011185,270.241821,171.291580,51.304008,371.207153,189.823029,134.347504,157.571213,176.491089,226.948303,386.456696,171.089783,193.656235,285.460022,168.109940,136.059586,76.562912,177.830811,229.651443,-40.215805,192.229736,314.806458,-42.548897,209.972046,233.394287,158.889526,193.065140,139.974930,61.481491,205.651718,-16.092110,153.181122,191.924530,61.213711,71.473076,193.063965,67.403992,-58.149719,195.124512,-9.149381,72.926239,193.089005,149.118225,,,
