Format Version,1.24,Take Name,RADs_12s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.50.46.302 PM,Capture Start Frame,1579145,Total Frames in Take,7283,Total Exported Frames,7283,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,166.029480,188.530518,312.186066,60.947495,175.014694,306.598724,285.583038,176.560425,222.494537,291.043030,178.655472,307.392700,149.938797,192.534531,-26.977186,-51.446869,192.593994,72.223343,360.326630,191.131348,-44.031647,270.552338,174.225189,-36.697811,-48.773083,193.275070,152.944946,269.600525,173.199280,51.977161,370.376099,202.851501,133.049545,157.195038,182.689316,227.275162,384.700012,181.604904,192.102371,285.643860,179.157532,135.783600,79.493690,168.572418,231.348129,-39.075909,187.311249,316.170105,-47.064362,171.155197,235.257324,157.572281,204.644241,140.618652,61.388599,198.498291,-18.764519,151.989822,190.803207,59.995583,69.612358,182.899521,64.653717,-52.995312,235.488480,-0.038344,71.107651,179.723328,147.862762
17,0.141667,166.028763,188.537582,312.169830,60.941895,175.012970,306.568634,285.574768,176.571136,222.473831,291.039001,178.630661,307.370972,149.942245,192.535645,-26.991596,-51.442890,192.629028,72.198219,360.324341,191.120193,-44.039967,270.488007,174.307846,-36.721725,-48.773499,193.277618,152.920547,269.599701,173.219604,51.969498,370.374573,202.851700,133.053650,157.248001,182.761795,227.229370,384.704468,181.613007,192.105453,285.635468,179.184372,135.779785,79.493187,168.574860,231.318863,-39.078514,187.338730,316.146423,-47.068161,171.213226,235.201355,157.567200,204.677704,140.607910,61.391624,198.502792,-18.783960,151.985138,190.828796,59.992058,69.609528,182.916992,64.632851,-52.988682,235.469772,-0.076084,71.093788,179.715393,147.854843
18,0.150000,166.046280,188.463013,312.153290,60.958740,174.998047,306.568085,285.596375,176.548050,222.468018,291.057129,178.570068,307.366211,149.955444,192.544281,-26.989075,-51.391224,192.508194,72.191452,360.337463,191.123596,-44.050655,270.556030,174.356659,-36.662338,-48.775070,193.247101,152.912872,269.602203,173.225845,51.970093,370.399017,202.867752,133.027939,157.273285,182.785904,227.212936,384.700714,181.635147,192.096710,285.647919,179.177567,135.783066,79.500969,168.562775,231.309952,-39.067543,187.325684,316.150299,-47.057255,171.199188,235.201004,157.338242,205.281235,140.412689,61.395599,198.503326,-18.785452,151.994019,190.831863,59.985275,69.621651,182.918015,64.624237,-53.080761,235.412598,-0.040779,71.099403,179.709457,147.854721
19,0.158333,166.048248,188.495239,312.127014,60.945244,175.048508,306.519012,285.580231,176.567001,222.439804,291.050720,178.468140,307.310455,149.978668,192.633255,-27.040194,-51.452892,192.642120,72.165207,360.335236,191.137131,-44.075848,270.492310,174.385071,-36.761436,-48.777775,193.277695,152.889496,269.601105,173.238937,51.962612,370.354614,202.892471,133.054810,157.262085,182.800644,227.182739,384.706177,181.617172,192.092804,285.166077,179.804306,135.699677,79.497818,168.590164,231.282013,-39.073288,187.337616,316.128906,-47.061256,171.208466,235.166321,157.252411,205.610321,140.329178,61.225666,199.065063,-18.903086,151.982239,190.846710,59.964840,69.605087,182.962387,64.598854,-53.006504,235.531647,-0.098693,71.208000,179.634186,147.732422
20,0.166667,166.068405,188.432419,312.107574,60.963684,175.036728,306.503021,285.592468,176.542786,222.417633,291.058594,178.411423,307.290894,149.984421,192.678406,-27.059004,-51.450363,192.621521,72.153961,360.340424,191.131973,-44.100319,270.481750,174.426361,-36.794361,-48.775776,193.280014,152.884094,269.602631,173.236420,51.947903,370.313782,202.911865,133.062637,157.275208,182.780655,227.165604,384.697937,181.641113,192.072540,285.162079,179.907928,135.681076,79.505760,168.587418,231.263138,-39.065639,187.327347,316.122162,-47.057686,171.191528,235.164764,157.258698,205.608582,140.315109,61.177109,199.290466,-18.946571,152.006348,190.871948,59.933937,69.659645,182.923920,64.547569,-53.008869,235.525299,-0.105767,71.112747,179.750107,147.818588
21,0.175000,166.062714,188.440643,312.097870,60.954845,175.074738,306.487701,285.571564,176.570328,222.385117,291.050140,178.409332,307.255096,149.972092,192.697845,-27.068420,-51.458004,192.657532,72.135719,360.322327,191.139374,-44.107895,270.469421,174.433640,-36.808617,-48.788609,193.303955,152.867722,269.593140,173.248810,51.942356,370.332428,202.685303,132.935623,157.261719,182.804626,227.150284,384.699829,181.618683,192.059280,285.106720,179.985001,135.637070,79.492897,168.641403,231.238556,-39.078564,187.355942,316.103180,-47.077221,171.232208,235.141098,157.281662,205.531387,140.327301,61.167934,199.254608,-18.959278,151.993225,190.914093,59.912880,69.652008,182.975266,64.526489,-53.025539,235.551041,-0.143431,71.082863,179.746094,147.812561
22,0.183333,166.087448,188.358780,312.095215,60.973000,175.033356,306.492371,285.597931,176.543823,222.373398,291.082642,178.325974,307.244385,149.973267,192.686310,-27.073940,-51.450481,192.629745,72.127525,360.320374,191.111038,-44.130512,270.471558,174.393875,-36.824257,-48.782276,193.269058,152.860825,269.600250,173.220428,51.933842,370.356140,202.683685,132.894852,157.277664,182.768234,227.148056,384.700500,181.656494,192.046234,285.247131,179.866714,135.559128,79.504715,168.606598,231.238251,-39.071323,187.331665,316.106171,-47.062733,171.179993,235.139282,157.320831,205.443863,140.338913,61.193916,199.159622,-18.958012,151.992020,190.920227,59.909081,69.663261,182.937378,64.519920,-53.007908,235.476471,-0.167445,71.091713,179.722397,147.801025
23,0.191667,166.082306,188.365616,312.096832,60.965816,175.064667,306.488678,285.587250,176.595474,222.374115,291.070953,178.344315,307.245972,149.968307,192.689606,-27.067080,-51.459442,192.682495,72.141342,360.303497,191.092941,-44.149857,270.457825,174.387955,-36.820152,-48.791519,193.286316,152.863541,269.594635,173.231247,51.936356,370.365143,202.708725,132.887955,157.266541,182.806259,227.152725,384.699951,181.623199,192.048996,285.297729,179.877243,135.553284,79.468239,168.697891,231.206680,-39.072090,187.348434,316.105377,-47.072880,171.221558,235.144089,157.320969,205.445297,140.343445,61.088146,199.374710,-18.947083,151.981964,190.948196,59.916241,69.653160,182.971466,64.526459,-53.018711,235.531525,-0.151105,71.085701,179.776062,147.812805
24,0.200000,166.103104,188.308960,312.110260,60.988651,175.031052,306.504639,285.617249,176.548660,222.376617,291.107086,178.267776,307.253265,149.979355,192.689880,-27.066832,-51.448246,192.639938,72.157722,360.313843,191.031647,-44.182693,270.448029,174.252380,-36.807529,-48.773640,193.244583,152.882919,269.602173,173.234222,51.934132,370.367889,202.711655,132.883301,157.285370,182.786087,227.160538,384.698029,181.663635,192.041641,285.315887,179.785217,135.584198,79.520088,168.617081,231.251892,-39.059311,187.328735,316.116150,-47.048862,171.171997,235.156204,157.309738,205.478134,140.348648,61.163055,199.307556,-18.940365,151.993576,190.937378,59.920715,69.665154,182.962585,64.538132,-53.011051,235.512100,-0.116068,71.097115,179.759842,147.819366
25,0.208333,166.095947,188.335434,312.122040,60.979919,175.040039,306.515747,285.601410,176.576340,222.373550,291.094513,178.266159,307.244019,149.974457,192.698624,-27.062168,-51.455078,192.666168,72.175186,360.295776,191.045013,-44.192184,270.387421,174.270050,-36.849049,-48.781372,193.281174,152.899521,269.668243,173.055313,51.803890,370.369629,202.729584,132.887604,157.280792,182.802536,227.165039,384.696075,181.656464,192.050720,285.300598,179.773666,135.585846,79.507385,168.646271,231.260406,-39.033623,187.396683,316.104309,-47.056808,171.208542,235.173019,157.313492,205.477646,140.349533,61.085220,199.438446,-18.924219,151.992004,190.965759,59.927963,69.659195,182.994308,64.543655,-53.035168,235.589874,-0.074954,71.093391,179.793457,147.829086
26,0.216667,166.106766,188.257614,312.131744,61.002502,174.993408,306.528870,285.624512,176.543747,222.385651,291.112213,178.220657,307.263062,149.971924,192.707321,-27.053036,-51.446491,192.643402,72.205849,360.303650,191.068527,-44.180233,270.435486,174.399750,-36.810871,-48.769009,193.280670,152.928375,269.692810,173.049011,51.804619,370.328827,202.984833,133.020737,157.290710,182.786697,227.184586,384.701416,181.666534,192.057602,285.140381,179.995758,135.631729,79.513344,168.621796,231.277344,-39.015995,187.382202,316.122467,-47.044415,171.186707,235.198944,157.328720,205.468994,140.364685,61.163204,199.328094,-18.910088,152.000717,190.958893,59.932465,69.618652,183.002731,64.605507,-53.026657,235.575821,-0.040632,71.103340,179.793457,147.847000
27,0.225000,166.094955,188.252502,312.130615,60.993019,174.985382,306.531097,285.606689,176.569717,222.379211,291.094910,178.213821,307.248779,149.968033,192.726181,-27.048756,-51.463589,192.662079,72.212128,360.302429,191.071945,-44.171986,270.434998,174.444214,-36.810848,-48.782097,193.291870,152.917374,269.682007,173.068558,51.807232,370.300171,202.999924,133.046127,157.276443,182.792221,227.182693,384.712738,181.675201,192.070053,285.083221,179.946289,135.679810,79.502373,168.615356,231.270706,-39.026005,187.391327,316.124878,-47.052711,171.215179,235.196136,157.312164,205.483109,140.366776,61.075470,199.459396,-18.903404,151.985703,190.983383,59.936485,69.593933,183.011856,64.611641,-53.053131,235.631546,-0.055341,71.094902,179.815094,147.844223
